date,usd_inr_rate
2017-06-11,64.387
2017-06-12,64.48
2017-06-13,64.3667
2017-06-14,64.0673
2017-06-15,64.6057
2017-06-16,64.4633
2017-06-17,64.405
2017-06-18,64.405
2017-06-19,64.4783
2017-06-20,64.645
2017-06-21,64.59
2017-06-22,64.6099
2017-06-23,64.4749
2017-06-24,64.5055
2017-06-25,64.5055
2017-06-26,64.41
2017-06-27,64.4751
2017-06-28,64.5049
2017-06-29,64.7953
2017-06-30,64.6199
2017-07-01,64.6168
2017-07-02,64.6168
2017-07-03,64.8553
2017-07-04,64.7699
2017-07-05,64.7993
2017-07-06,64.725
2017-07-07,64.595
2017-07-08,64.6255
2017-07-09,64.6217
2017-07-10,64.4749
2017-07-11,64.5354
2017-07-12,64.41
2017-07-13,64.4599
2017-07-14,64.28
2017-07-15,64.4235
2017-07-16,64.4235
2017-07-17,64.3401
2017-07-18,64.3357
2017-07-19,64.2651
2017-07-20,64.375
2017-07-21,64.3851
2017-07-22,64.4711
2017-07-23,64.4711
2017-07-24,64.3902
2017-07-25,64.445
2017-07-26,64.3375
2017-07-27,64.1251
2017-07-28,64.1151
2017-07-29,64.1335
2017-07-30,64.1335
2017-07-31,64.1801
2017-08-01,64.0951
2017-08-02,63.635
2017-08-03,63.7001
2017-08-04,63.6501
2017-08-05,63.6755
2017-08-06,63.6751
2017-08-07,63.8451
2017-08-08,63.015
2017-08-09,63.1815
2017-08-10,64.0575
2017-08-11,64.055
2017-08-12,64.091
2017-08-13,64.091
2017-08-14,64.075
2017-08-15,64.2155
2017-08-16,64.1701
2017-08-17,64.095
2017-08-18,64.095
2017-08-19,64.0955
2017-08-20,64.0859
2017-08-21,64.175
2017-08-23,64.045
2017-08-24,64.045
2017-08-25,64.0051
2017-08-26,64.0055
2017-08-27,64.0055
2017-08-28,63.8
2017-08-29,63.95
2017-08-30,64.0
2017-08-31,63.98
2017-09-01,63.825
2017-09-02,64.0255
2017-09-03,64.0255
2017-09-04,64.01
2017-09-05,64.105
2017-09-06,64.0601
2017-09-07,63.975
2017-09-08,63.945
2017-09-09,63.7855
2017-09-10,63.941
2017-09-11,63.935
2017-09-12,64.0309
2017-09-13,64.135
2017-09-14,64.195
2017-09-15,64.1211
2017-09-16,64.1105
2017-09-17,64.1302
2017-09-18,64.1581
2017-09-19,64.305
2017-09-20,64.3449
2017-09-21,64.91
2017-09-22,64.865
2017-09-23,64.7955
2017-09-24,64.901
2017-09-25,65.275
2017-09-26,65.4587
2017-09-27,65.5149
2017-09-28,65.4249
2017-09-29,65.345
2017-09-30,65.3105
2017-10-01,65.3033
2017-10-02,65.5775
2017-10-03,65.4768
2017-10-04,65.075
2017-10-05,65.135
2017-10-06,65.47
